,city,lat,lng,country,iso2,admin,capital,population,population_proper,tripid,dest/orig/
1,Saint Petersburg,59.89444399999999,30.264166999999997,Russia,RU,Sankt-Peterburg,admin,4553000.0,3493212.0,33,destination
2,Novosibirsk,55.0415,82.9346,Russia,RU,Novosibirskaya Oblast’,admin,1389000.0,1037201.0,64,destination
3,Yekaterinburg,56.8519,60.6122,Russia,RU,Sverdlovskaya Oblast’,admin,1313000.0,1227976.0,23,destination
4,Nizhniy Novgorod,56.326944,44.0075,Russia,RU,Nizhegorodskaya Oblast’,admin,1278000.0,1214926.0,66,destination
5,Samara,53.200065,50.150002,Russia,RU,Samarskaya Oblast’,admin,1137000.0,856190.0,19,destination
6,Omsk,55.0,73.4,Russia,RU,Omskaya Oblast’,admin,1135000.0,1043403.0,69,destination
7,Kazan’,55.788740000000004,49.122144,Russia,RU,Tatarstan,admin,1115000.0,912270.0,47,destination
8,Chelyabinsk,55.154015,61.42915,Russia,RU,Chelyabinskaya Oblast’,admin,1091000.0,946604.0,72,destination
9,Rostov-na-Donu,47.23135,39.723284,Russia,RU,Rostovskaya Oblast’,admin,1052000.0,1013134.0,50,destination
10,Ufa,54.785167,56.045621,Russia,RU,Bashkortostan,admin,1018000.0,920756.0,1,destination
12,Volgograd,48.719390000000004,44.501835,Russia,RU,Volgogradskaya Oblast’,admin,984000.0,619655.0,41,destination
13,Krasnoyarsk,56.018393,92.867174,Russia,RU,Krasnoyarskiy Kray,admin,925000.0,302210.0,80,destination
14,Voronezh,51.672035,39.184301,Russia,RU,Voronezhskaya Oblast’,admin,844000.0,295469.0,67,destination
15,Saratov,51.540556,46.008611,Russia,RU,Saratovskaya Oblast’,admin,843000.0,786173.0,16,destination
16,Krasnodar,45.044843,38.976029,Russia,RU,Krasnodarskiy Kray,admin,649851.0,552532.0,53,destination
17,Ul’yanovsk,54.328241000000006,48.38657,Russia,RU,Ul’yanovskaya Oblast’,admin,640680.0,502427.0,54,destination
18,Izhevsk,56.849756000000006,53.204479000000006,Russia,RU,Udmurtiya,admin,631038.0,591422.0,7,destination
19,Yaroslavl’,57.619769999999995,39.85536,Russia,RU,Yaroslavskaya Oblast’,admin,606730.0,535578.0,32,destination
20,Barnaul,53.360556,83.763611,Russia,RU,Altayskiy Kray,admin,599579.0,539843.0,81,destination
21,Vladivostok,43.1211,131.9226,Russia,RU,Primorskiy Kray,admin,587022.0,586212.0,63,destination
22,Irkutsk,52.297778,104.296389,Russia,RU,Irkutskaya Oblast’,admin,586695.0,557955.0,29,destination
23,Khabarovsk,48.482715,135.083793,Russia,RU,Khabarovskiy Kray,admin,579000.0,546411.0,14,destination
24,Makhachkala,42.976378000000004,47.502356,Russia,RU,Dagestan,admin,554981.0,497959.0,5,destination
25,Orenburg,51.7727,55.0988,Russia,RU,Orenburgskaya Oblast’,admin,550204.0,511437.0,61,destination
27,Tomsk,56.49770899999999,84.974374,Russia,RU,Tomskaya Oblast’,admin,535479.0,408421.0,27,destination
28,Ryazan’,54.6269,39.6916,Russia,RU,Ryazanskaya Oblast’,admin,520173.0,484573.0,62,destination
29,Tyumen’,57.152221999999995,65.527222,Russia,RU,Tyumenskaya Oblast’,admin,519119.0,402785.0,31,destination
30,Lipetsk,52.603111,39.570762,Russia,RU,Lipetskaya Oblast’,admin,515655.0,488633.0,52,destination
31,Penza,53.200656,45.004643,Russia,RU,Penzenskaya Oblast’,admin,512602.0,471284.0,28,destination
32,Astrakhan’,46.349683,48.040756,Russia,RU,Astrakhanskaya Oblast’,admin,502533.0,484194.0,75,destination
33,Tula,54.202132999999996,37.644294,Russia,RU,Tul’skaya Oblast’,admin,489486.0,468825.0,17,destination
34,Kemerovo,55.333332999999996,86.083333,Russia,RU,Kemerovskaya Oblast’,admin,477090.0,464279.0,30,destination
36,Kirov,58.596654,49.660068,Russia,RU,Kirovskaya Oblast’,admin,457437.0,457383.0,56,destination
37,Cheboksary,56.132222,47.251944,Russia,RU,Chuvashiya,admin,446781.0,441274.0,68,destination
38,Kaliningrad,54.706493,20.510951000000002,Russia,RU,Kaliningradskaya Oblast’,admin,434954.0,371499.0,44,destination
39,Bryansk,53.252089,34.371666,Russia,RU,Bryanskaya Oblast’,admin,427236.0,425784.0,12,destination
42,Kursk,51.737328999999995,36.187349,Russia,RU,Kurskaya Oblast’,admin,409431.0,388053.0,77,destination
43,Tver’,56.860491,35.876027,Russia,RU,Tverskaya Oblast’,admin,400212.0,363874.0,20,destination
46,Vladikavkaz,43.036667,44.667778000000006,Russia,RU,North Ossetia,admin,364630.0,317370.0,55,destination
47,Stavropol’,45.0428,41.9734,Russia,RU,Stavropol’skiy Kray,admin,363064.0,338527.0,82,destination
48,Ulan-Ude,51.827212,107.606268,Russia,RU,Buryatiya,admin,360278.0,347976.0,8,destination
49,Arkhangel’sk,64.5401,40.5433,Russia,RU,Arkhangel’skaya Oblast’,admin,356051.0,234322.0,37,destination
50,Belgorod,50.610743,36.580152000000005,Russia,RU,Belgorodskaya Oblast’,admin,345289.0,310720.0,24,destination
51,Kurgan,55.45,65.333333,Russia,RU,Kurganskaya Oblast’,admin,343129.0,315670.0,59,destination
52,Kaluga,54.529302,36.275415,Russia,RU,Kaluzhskaya Oblast’,admin,338978.0,288489.0,13,destination
53,Orël,52.965076,36.078495000000004,Russia,RU,Orlovskaya Oblast’,admin,334552.0,324200.0,58,destination
55,Yoshkar-Ola,56.63694399999999,47.871111,Russia,RU,Mariy-El,admin,324406.0,279100.0,48,destination
57,Smolensk,54.7818,32.0401,Russia,RU,Smolenskaya Oblast’,admin,320991.0,302918.0,49,destination
59,Murmansk,68.979174,33.092514,Russia,RU,Murmanskaya Oblast’,admin,319263.0,224253.0,76,destination
60,Vladimir,56.136547,40.396576,Russia,RU,Vladimirskaya Oblast’,admin,318648.0,310024.0,78,destination
